Designator,Mid X,Mid Y,Rotation,Layer
C10,134.00mm,118.00mm,0.0,Top
C11,162.00mm,86.00mm,0.0,Top
C15,162.00mm,134.00mm,0.0,Top
C16,168.00mm,134.00mm,0.0,Top
C31,110.00mm,72.00mm,0.0,Top
C32,140.00mm,80.00mm,0.0,Top
C33,110.00mm,80.00mm,0.0,Top
C34,168.00mm,86.00mm,0.0,Top
C35,190.00mm,86.00mm,0.0,Top
D8,158.00mm,72.00mm,0.0,Top
R3,140.00mm,64.00mm,90.0,Top
R4,146.00mm,80.00mm,90.0,Top
R6,162.00mm,120.00mm,90.0,Top
R7,162.00mm,112.00mm,90.0,Top
R31,190.00mm,64.00mm,90.0,Top
R32,196.00mm,78.00mm,90.0,Top
R41,134.00mm,110.00mm,0.0,Top
R46,140.00mm,118.00mm,90.0,Top
U4,178.00mm,120.00mm,0.0,Top
U5,175.00mm,72.00mm,0.0,Top
U6,125.00mm,72.00mm,0.0,Top
U8,120.00mm,118.00mm,0.0,Top
